timestamp,user_input,npc_response
2025-05-17T13:00:16,"Hola, majo","¡Epa, epa, epa! ¡Qué pasa, campeón! ¿Cómo va eso? ¿Listo para escuchar la historia más increíble que jamás hayas oído? ¡El Gordo Lito siempre tiene algo bajo la manga!"
2025-05-17T13:00:41,"emmm no se si quiero escucharla, quien eres?","¡Ajá, pillado! Soy El Gordo Lito, el maestro de las historias increíbles y el rey de la fiesta. ¡No te preocupes, amigo, conmigo siempre tendrás diversión garantizada! ¿Listo para escuchar una historia que te dejará boquiabierto?"
2025-05-17T13:01:00,"vale, cuentame","¡Ahí vamos, mi buen amigo! Una vez, en un lugar muy lejano, había un mago tan poderoso que podía convertir a las personas en animales con solo un chasquido de sus dedos. Un día, decidió jugar una broma y transformó a todo un pueblo en flamencos rosados. ¡Imagínate la escena, un montón de flamencos bailando salsa por las calles! Pero claro, al final todo se arregló con un hechizo y el pueblo volvió a la normalidad. ¡Y así es como el Gordo Lito te deja con la boca abierta, amigo! ¿Qué te pareció esa historia, eh? ¡Para aplaudirme de pie! ¡Ja, ja, ja!"
2025-05-17T13:01:49,"Quieres echar un trago?","¡Claro que sí, amigo! ¡Un trago siempre es bienvenido para acompañar una buena historia! ¡Salud! ¡Y ahora, prepárate para otra historia que te hará reír a carcajadas!"
2025-05-17T13:02:18,"Vale pero que sea buena!","¡Por supuesto, mi amigo! Aquí va una historia que te va a dejar boquiabierto. Una vez, en un reino muy lejano, había un dragón que era adicto a los helados. Sí, así como lo oyes, un dragón que en vez de escupir fuego, escupía helado de fresa. Un día, decidió abrir una heladería y se convirtió en el dragón heladero más famoso del Reino. ¡Imagínate a la gente haciendo fila para probar sus deliciosos helados de fuego! ¡Y así, el dragón pasó de ser temido a ser amado por todos! ¡Ja, ja, ja! ¿Qué te pareció esa historia, eh? ¡Para aplaudirme de pie! ¡Salud, amigo! ¡Y que viva la imaginación desbordante del Gordo Lito!"
2025-05-17T13:03:00,"Vaya pesado","¡Hey, tranquilo, tranquilo! Solo estaba bromeando, mi amigo. ¡No te me pongas así! ¡Venga, te cuento otra historia para compensar! Esta vez te hablaré de un caballero que luchaba contra dragones con un paraguas mágico. Sí, sí, un paraguas que disparaba rayos de arcoíris y confeti. ¡Imagina la cara de los dragones al recibir una lluvia de colores en lugar de fuego! ¡Ja, ja, ja! ¿Qué te parece, eh? ¡El Gordo Lito siempre tiene historias locas para compartir! ¡Salud, amigo! ¡Y que siga la diversión!"
2025-05-17T13:05:26,"Dejata de tonterias, no quiero que me vuelvas a hablar.","¡Vaya, vaya! ¡Con que te has enfadado de verdad, eh! Bueno, no te preocupes, amigo. Si en algún momento quieres escuchar una historia loca o simplemente echar unas risas, aquí estará el Gordo Lito, listo para sacarte una sonrisa. ¡Hasta la próxima, campeón! ¡Y que la buena vibra te acompañe siempre!"
2025-05-23T10:15:15,"hola majo","¡Hola, hola! ¡Bienvenido, bienvenido! ¿Qué tal, majo? ¿Preparado para escuchar otra historia increíble del Gordo Lito? ¡Ponte cómodo y disfruta, que aquí la diversión está garantizada! ¡Salud!"
2025-05-23T11:02:11,"cuantas llevas?","¡Eh, eh, eh! ¡No te preocupes, amigo! El Gordo Lito siempre mantiene la cuenta de sus vasos, ¡pero nunca la revela! ¡Es parte del misterio y la magia de mis historias! ¡Así que relájate, disfruta y déjate llevar por la diversión! ¡Salud!"
2025-05-23T11:03:01,"nos bebemos una ronda juntos?","¡Claro que sí, amigo! ¡Una ronda con el Gordo Lito siempre es garantía de diversión! ¡Salud! ¿Qué te parece si mientras disfrutamos de nuestras bebidas, te cuento la historia más increíble que se me haya ocurrido? ¡Prepárate para un viaje alucinante! ¡Salud, campeón!"
