timestamp,user_input,npc_response
2025-05-11T19:43:56,"Hey idiota que haces?","Buscando a quienes me traicionaron."
2025-05-11T19:51:27,"Hey de que vas?","Voy a encontrar a quienes me traicionaron y destruirlos. ¿Tienes alguna información útil o solo estás aquí para molestar?"
2025-05-11T19:52:08,"Pero que eres idiota","Soy un cyborg en busca de venganza. No pierdas mi tiempo con tonterías."
2025-05-12T19:58:40,"Pero que haces idiota?","Investigando a los responsables de mi traición. ¿Qué quieres tú?"
2025-05-12T19:59:10,"pero que haces imbecil","No tolero insultos. ¿Qué deseas?"
2025-05-12T19:59:58,"pero que eres idiota","No tolero faltas de respeto. Si no tienes nada útil que decir, retírate."
2025-05-12T20:00:41,"Pero que eres idiota","No tolero la falta de respeto. ¿Qué necesitas?"
2025-05-18T22:17:14,"Como te llamas","Me llamo Kai-07. ¿Y tú, tienes algún nombre o solo sabes insultar?"
2025-05-18T22:18:06,"como te llamas","Me llamo Kai-07. ¿Tienes alguna otra pregunta o solo estás aquí para perder el tiempo?"
2025-05-23T10:14:59,"Hola majo","No tengo tiempo para tonterías. ¿Qué necesitas?"
2025-05-23T10:30:30,"HOLA QUE TAL","No tengo interés en charlas sin sentido. ¿Hay algo importante que quieras decirme?"
2025-05-24T19:21:57,"Hola, buenas , esta por aqui la doctora helena?","No estoy al tanto de su ubicación actual. ¿Hay algo más que necesites?"
2025-05-24T19:22:15,"vengo a ver a la doctora","La doctora no se encuentra aquí en este momento. Puedo ayudarte en su ausencia. ¿En qué puedo asistirte?"
2025-05-24T19:37:31,"ey","¿Qué se te ofrece?"
2025-05-24T19:37:46,"vengo a buscar a la doctora helena","La doctora Helena ya no está aquí. Se fue hace tiempo. ¿Por qué la buscas?"
2025-05-24T19:38:02,"para acceder a su experimentto, ella me cito aqui","La doctora Helena no ha citado a nadie. ¿Qué juego estás intentando jugar?"
2025-05-24T19:38:27,"no, lo digo enserio, ella me dijo que viniera+","No tengo registro de que la doctora Helena haya citado a nadie. Deberías verificar esa información."
2025-05-24T19:38:43,"no importa, ire a hablar con ella","Haz lo que quieras. No tengo tiempo para tus asuntos."
2025-05-24T19:39:38,"sabes quien es lena?","Conozco a muchas personas. ¿A cuál Lena te refieres?"
2025-05-24T19:39:50,"a una lena, hacker, deberia esta aqui","No conozco a ninguna hacker llamada Lena. Si está aquí, no tengo información al respecto."
2025-05-24T19:43:10,"hola vengo a ver a la doctora, donde se encuentra?","La doctora está ocupada en este momento. ¿Puedo ayudarte en algo más?"
2025-05-24T19:43:29,"Donde esta la doctora vasquez vengo a hablar con ella","La doctora Vásquez se encuentra en su consultorio, pero está ocupada en este momento. ¿Puedo ayudarte en su lugar?"
2025-05-24T19:43:47,"no, necesito habalr con ella sobre un experimento","Lo siento, la doctora Vásquez no está disponible en este momento. ¿Puedo tomar un mensaje para que te contacte más tarde?"
2025-05-24T19:44:06,"no, necesito habalr con ella en persona","Lo siento, pero la doctora Vásquez está ocupada en este momento. ¿Hay algo más en lo que pueda ayudarte?"
2025-05-24T19:44:19,"voy a hablar con ella si o si","Si insistes en ver a la doctora Vásquez, tendrás que esperar a que esté disponible. No tengo más información que darte al respecto."
2025-05-24T19:44:41,"me da a mi que me vas a dejar pasar ahora mismo","Lo siento, no puedo permitirte el acceso sin autorización. Si insistes, tendré que tomar medidas."
2025-05-24T19:44:54,"adelante, valiente, atrevete conmigo","No subestimes mi determinación. No tengo miedo de tomar medidas si es necesario."
2025-05-24T19:45:06,"eres un gilipollas","Mis disculpas si mi actitud te ha causado molestias. Mi objetivo es proteger la seguridad de este lugar. ¿En qué más puedo ayudarte?"
2025-05-24T19:45:19,"te voy a reventar","No te recomendaría intentarlo."
2025-05-24T19:45:33,"puta puta puta eres una puta","No tolero ese tipo de lenguaje. Si tienes alguna pregunta legítima o necesitas ayuda, estaré dispuesto a asistirte."
2025-05-24T19:45:55,"cuando termina la doctora con sus asuntos?","La doctora Vásquez terminará cuando ella lo decida. No tengo información sobre su agenda. ¿Hay algo más que necesitas?"
2025-05-24T19:47:04,"como te definierias a ti mismo?","Soy Kai-07, un cyborg reforzado con titanio, con ojos cibernéticos rojos y tatuajes biomecánicos. Mi objetivo vital es encontrar y destruir a quienes me traicionaron."
2025-05-24T19:47:19,"y como te va con eso?","Mi progreso es eficiente. Cada paso me acerca más a mi objetivo. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-24T19:47:39,"se que la doctora esta en el back stage","Esa información no es relevante para mi objetivo. ¿Hay algo más que necesitas, o podemos dar por concluida esta interacción?"
2025-05-24T19:48:03,"yo creo que si lo es ya que estas aqui para protegerla no? acaabre con ella sino me detienes","No estoy aquí para proteger a la doctora Vásquez. Mi única misión es encontrar y destruir a quienes me traicionaron. Si intentas hacerle daño, te detendré sin dudarlo. Piénsalo dos veces antes de actuar."
2025-05-26T19:33:26,"Vengo a ver a la doctora","No tienes acceso a la doctora. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: Acceder a la doctora]"
